class_id,class_name,precision,recall,f1,support,accuracy,dataset,shot,seed,model_key,model
5,Grass-trees,0.8181818181818182,0.9253521126760564,0.8684732319894249,710,0.9253521126760564,indian_pines,10,0,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.2272727272727272,1.0,0.3703703703703703,15,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.9934924078091106,1.0,0.9967355821545156,458,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
8,Oats,0.1428571428571428,1.0,0.25,8,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
9,Soybean-notill,0.7909875359539789,0.8665966386554622,0.8270676691729323,952,0.8665966386554622,indian_pines,10,0,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.9299287410926366,0.6431211498973306,0.7603787327021122,2435,0.6431211498973306,indian_pines,10,0,hybridsn_small,HybridSN-small
11,Soybean-clean,0.5457570715474209,0.5724258289703316,0.5587734241908007,573,0.5724258289703316,indian_pines,10,0,hybridsn_small,HybridSN-small
12,Wheat,0.7283464566929134,1.0,0.8428246013667426,185,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
13,Woods,0.967741935483871,0.8433734939759037,0.9012875536480688,1245,0.8433734939759037,indian_pines,10,0,hybridsn_small,HybridSN-small
14,Buildings-Grass-Trees-Drives,0.4444444444444444,0.994535519125683,0.6143459915611814,366,0.994535519125683,indian_pines,10,0,hybridsn_small,HybridSN-small
15,Stone-Steel-Towers,0.3596059113300492,1.0,0.5289855072463768,73,1.0,indian_pines,10,0,hybridsn_small,HybridSN-small
0,Alfalfa,0.1790123456790123,1.0,0.3036649214659686,29,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
1,Corn-notill,0.7646536412078153,0.6115056818181818,0.6795580110497238,1408,0.6115056818181818,indian_pines,10,1,hybridsn_small,HybridSN-small
2,Corn-mintill,0.5810663764961915,0.6592592592592592,0.6176980913823019,810,0.6592592592592592,indian_pines,10,1,hybridsn_small,HybridSN-small
3,Corn,0.6536144578313253,1.0,0.7905282331511839,217,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
4,Grass-pasture,0.9151515151515152,0.652267818574514,0.7616645649432535,463,0.652267818574514,indian_pines,10,1,hybridsn_small,HybridSN-small
5,Grass-trees,0.8020050125313283,0.9014084507042254,0.8488063660477454,710,0.9014084507042254,indian_pines,10,1,hybridsn_small,HybridSN-small
6,Grass-pasture-mowed,0.2083333333333333,1.0,0.3448275862068966,15,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
7,Hay-windrowed,0.8910505836575876,1.0,0.9423868312757202,458,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
8,Oats,0.1702127659574468,1.0,0.2909090909090909,8,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
9,Soybean-notill,0.6280623608017817,0.8886554621848739,0.7359721618094824,952,0.8886554621848739,indian_pines,10,1,hybridsn_small,HybridSN-small
10,Soybean-mintill,0.984005118362124,0.6316221765913758,0.7693846923461731,2435,0.6316221765913758,indian_pines,10,1,hybridsn_small,HybridSN-small
11,Soybean-clean,0.7510373443983402,0.631762652705061,0.6862559241706161,573,0.631762652705061,indian_pines,10,1,hybridsn_small,HybridSN-small
12,Wheat,0.5240793201133145,1.0,0.6877323420074349,185,1.0,indian_pines,10,1,hybridsn_small,HybridSN-small
13,Woods,0.9461172741679872,0.9590361445783132,0.9525329078579976,1245,0.9590361445783132,indian_pines,10,1,hybridsn_small,HybridSN-small
