dataset,shot,comparison,metric,seed,baseline_value,qnn_value,delta
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,3,0.7120680155866488,0.7435616300329638,0.031493614446315044
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,4,0.7338603685127811,0.7271495912542059,-0.006710777258575273
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,0,0.7932298145982848,0.7903005634768404,-0.002929251121444376
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,1,0.7705086630302019,0.796709618522603,0.02620095549240109
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,2,0.8415702723437987,0.8544749911242434,0.012904718780444746
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,3,0.8013719828097221,0.8169051039611158,0.015533121151393714
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,4,0.8369782035268242,0.8311370566815837,-0.005841146845240508
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,0,0.7821111137168453,0.8207359114467296,0.038624797729884364
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,1,0.7518350882953027,0.7976595295607514,0.04582444126544871
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,2,0.7074880983091391,0.719354611758636,0.011866513449496963
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,3,0.7562439905255506,0.757463474121151,0.0012194835956004235
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,4,0.7894983701132713,0.7811730494125372,-0.008325320700734107
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,0,0.8356609571406695,0.872007896725218,0.03634693958454849
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,1,0.7561291920476267,0.82981896174898,0.07368976970135321
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,2,0.8053393215805635,0.8264375484214378,0.021098226840874257
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,3,0.7256586829204994,0.7968433960454226,0.07118471312492325
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,4,0.7931516751506689,0.7935183436154519,0.0003666684647830598
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,0,0.7265163523669382,0.7736874288599918,0.04717107649305352
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,1,0.6848813902429977,0.7423690178940586,0.05748762765106097
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,2,0.6445393175561716,0.6591027053420607,0.01456338778588917
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,3,0.6845694840479801,0.6951610020645701,0.010591518016589974
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,4,0.7256404914193706,0.7191299809188081,-0.006510510500562505
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,0,0.7562441324856095,0.8098363027483079,0.05359217026269836
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,1,0.656815334876652,0.7790983003467837,0.12228296547013173
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,2,0.7326794305544678,0.7488492854902509,0.016169854935783046
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,3,0.6600883665756904,0.7602042949567764,0.10011592838108607
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,4,0.7547641260767772,0.757479819967925,0.0027156938911477857
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,0,0.793207389189153,0.8292299705235527,0.03602258133439973
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,1,0.7481472153630029,0.8032212169104327,0.05507400154742981
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,2,0.7192055268269049,0.7273145762218916,0.00810904939498669
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,3,0.7444213786011339,0.7758734375104057,0.03145205890927183
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,4,0.7921211196114911,0.7853957035652691,-0.00672541604622201
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,0,0.7821111137168453,0.8205952018010835,0.0384840880842382
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,1,0.7518350882953027,0.8062662695527778,0.05443118125747515
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,2,0.7074880983091391,0.7046035505733919,-0.0028845477357472005
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,3,0.7562439905255506,0.7736919865856805,0.017447996060129922
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,4,0.7894983701132713,0.8004971740812833,0.010998803968012005
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,0,0.8356609571406695,0.8503590293491589,0.014698072208489399
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,1,0.7561291920476267,0.8405973770864106,0.08446818503878384
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,2,0.8053393215805635,0.8004109492628017,-0.0049283723177618866
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,3,0.7256586829204994,0.8240616189986394,0.09840293607813999
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,4,0.7931516751506689,0.8243363057306815,0.03118463058001264
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,0,0.7265163523669382,0.7714655802991467,0.04494922793220846
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,1,0.6848813902429977,0.7539504359607206,0.06906904571772299
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,2,0.6445393175561716,0.6390786182380375,-0.005460699318134088
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,3,0.6845694840479801,0.7167733627449617,0.0322038786969816
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Kappa,4,0.7256404914193706,0.7403713312137085,0.014730839794337869
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,0,0.7562441324856095,0.7923815578720147,0.036137425386405186
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,1,0.656815334876652,0.7952284231960874,0.13841308831943544
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,2,0.7326794305544678,0.7194711966466525,-0.013208233907815337
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,3,0.6600883665756904,0.7711960014492211,0.1111076348735307
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Macro-F1,4,0.7547641260767772,0.7923710844331906,0.03760695835641337
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,0,0.793207389189153,0.8291264016782426,0.035919012489089575
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,1,0.7481472153630029,0.8150016900373408,0.06685447467433792
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,2,0.7192055268269049,0.7229402864845843,0.003734759657679443
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,3,0.7444213786011339,0.7899254084516181,0.045504029850484184
pavia_university,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,Weighted-F1,4,0.7921211196114911,0.8029041332613505,0.010783013649859341
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,0,0.8975490656399662,0.9062118508780168,0.008662785238050641
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,1,0.7473471687482393,0.8563245375152596,0.10897736876702036
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,2,0.8009907033524275,0.8662315710395342,0.06524086768710669
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,3,0.8418865621185088,0.8617710583153347,0.019884496196825974
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,OA,4,0.8253122358906939,0.8252183303596582,-9.390553103572064e-05
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,0,0.8878617429384523,0.8987334191455795,0.010871676207127146
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,1,0.7278932943724601,0.8889366950074246,0.16104340063496447
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,2,0.8654671007724013,0.9283297166840696,0.06286261591166831
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,3,0.867888908674396,0.8986694431447445,0.030780534470348453
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,AA,4,0.8664019073322778,0.8593215815095012,-0.007080325822776623
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,0,0.8657762146572979,0.8773738367359111,0.011597622078613146
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,1,0.6756408139131268,0.815301669454348,0.1396608555412212
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,2,0.7493500485403342,0.8305862722007085,0.08123622366037431
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,3,0.7963111902064955,0.8225965892181857,0.026285399011690136
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Kappa,4,0.7786469800707719,0.778157609243428,-0.0004893708273439046
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,0,0.8622790436612413,0.8762511554747529,0.013972111813511545
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,1,0.633134598405753,0.8550362708990947,0.2219016724933417
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,2,0.8129194504847996,0.8808482033701287,0.06792875288532907
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,3,0.8359958329237123,0.8736389848740118,0.03764315195029955
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Macro-F1,4,0.8155510640620265,0.8205843596773512,0.005033295615324729
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,0,0.8976153601489932,0.906530278804318,0.008914918655324788
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,1,0.7374703892049113,0.8607859214775949,0.12331553227268366
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,2,0.8217979821040112,0.8772300186679097,0.0554320365638985
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,3,0.8434700626365937,0.8654558308419753,0.021985768205381562
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Weighted-F1,4,0.8398066280229542,0.8367318162791108,-0.0030748117438434974
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,0,0.8975490656399662,0.903512066860738,0.0059630012207718686
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,1,0.7473471687482393,0.8434125269978402,0.09606535824960094
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,2,0.8009907033524275,0.8734388205465302,0.07244811719410271
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,3,0.8418865621185088,0.857451403887689,0.015564841769180271
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,OA,4,0.8253122358906939,0.839656305756409,0.014344069865715126
pavia_university,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,AA,0,0.8878617429384523,0.9051284184933952,0.01726667555494288
