dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,source_result_dir
indian_pines,cnn2d,10,3,0.721121946315472,0.8251479478988389,0.6843588010406455,0.6712854409111921,0.7249316704007547,69,14.258270978927612,2.145062208175659,28208.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn2d,10,4,0.741228511108877,0.8259358955461878,0.7080538244325074,0.6669780418819967,0.747830865162103,43,9.907256126403809,2.3890600204467773,28208.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,10,0,0.3951945310143762,0.4286433711243387,0.333135655248469,0.3232423548267304,0.3207084569593023,55,64.81260800361633,10.808969020843506,4016.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,10,1,0.1900070372976777,0.2119014946210952,0.1258165264427344,0.1285879766456597,0.128903570224901,17,30.741238117218018,10.884873151779177,4016.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,10,2,0.3499547602292148,0.3363231735465815,0.2345275454475788,0.196221885776526,0.2280398580906021,48,59.5410680770874,10.93681788444519,4016.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,10,3,0.2698300995274957,0.2708403054705964,0.187156402429845,0.1441252157416853,0.1587351485259793,27,40.36365294456482,11.286761045455933,4016.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,cnn3d,10,4,0.2685231728159244,0.2664548530563101,0.1998570553646123,0.1640410629761012,0.1815617976782585,54,64.67938899993896,10.014344930648804,4016.0,160,142,9947,result/other_cnn_baselines_fewshot_3datasets
indian_pines,knn,10,0,0.4132904393284407,0.5387553865018083,0.3451913166297258,0.3855799943942037,0.4274404263232462,0,0.0005171298980712,0.0072169303894042,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,10,1,0.3861465768573439,0.5365308367044268,0.3144064606309393,0.3755522929788786,0.408116169243916,0,0.000572919845581,0.0070791244506835,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,10,2,0.4365135216648235,0.5339729635159522,0.3641688008182004,0.3899846735450086,0.4475089348958921,0,0.0004870891571044,0.0069150924682617,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,10,3,0.3629234945209611,0.5165696428455117,0.2949499325962481,0.3682712420770773,0.3828385106624003,0,0.0005898475646972,0.0071887969970703,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,knn,10,4,0.4059515431788479,0.5474199795363314,0.3392686693753619,0.3975866384253011,0.4343085301436472,0,0.0005769729614257,0.0072519779205322,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,10,0,0.4239469186689454,0.5335513696989341,0.3555112354781061,0.3901733262039649,0.4347701147091515,0,0.1415479183197021,0.0395469665527343,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,10,1,0.4044435508193425,0.5408135110819893,0.336900261929111,0.3634928933413065,0.4239651271967232,0,0.1441490650177002,0.0493760108947753,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,10,2,0.4473710666532623,0.5468999425997334,0.3800441428919915,0.4008103516831171,0.4629556065286612,0,0.150965929031372,0.0522620677947998,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,10,3,0.4073590027143862,0.5349539069789124,0.337406055978202,0.3982110985972173,0.4192479686966157,0,0.1512172222137451,0.052386999130249,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,random_forest,10,4,0.4189202774705941,0.5460103367967044,0.3546183903011638,0.4041224376092818,0.437606079245437,0,0.1447947025299072,0.0523211956024169,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,10,0,0.4288730270433296,0.5698136638914912,0.3631887871637833,0.4240216235054069,0.440406907396054,0,0.0027251243591308,0.0818560123443603,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,10,1,0.4007238363325626,0.5487902345814315,0.3349403030128974,0.4130320157999989,0.4177815812976219,0,0.002457857131958,0.0813868045806884,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,10,2,0.4168090881672866,0.5389375593086891,0.351717262245554,0.4117527224787706,0.4386660236689067,0,0.0024101734161376,0.0788390636444091,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,10,3,0.4006233035085955,0.5584545702215702,0.332128355205644,0.4220874756157616,0.4224090542127646,0,0.0024759769439697,0.0813839435577392,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
indian_pines,svm_rbf,10,4,0.4326932743540766,0.5629457146743863,0.371493952836417,0.4419598424289835,0.4573599853252771,0,0.0024101734161376,0.0810720920562744,,160,142,9947,result/other_traditional_baselines_fewshot_3datasets
pavia_university,cnn1d,1,0,0.5219907678609087,0.6596601635837336,0.4301452431203353,0.5458854234294209,0.5321868256028939,67,0.9429807662963868,1.501204013824463,7113.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,1,1,0.2433629355390491,0.4712678761581167,0.1752229663868411,0.312707328831537,0.1592452009197341,18,0.3187720775604248,1.689671754837036,7113.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,1,2,0.4222649202146355,0.5779734252634664,0.3230069730395311,0.4631976075199553,0.4269705398201634,73,0.7978861331939697,1.611199140548706,7113.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,1,3,0.4440096539119432,0.5585849026163173,0.3502896796790425,0.4349643531317457,0.4240156681208359,77,0.7970430850982666,1.5343289375305176,7113.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,1,4,0.424983011926799,0.5384442369076353,0.3237121798384643,0.4640177926546452,0.4340906553466361,91,0.8972511291503906,1.653883934020996,7113.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,1,0,0.5164139934859526,0.5192387299391406,0.4171338148929676,0.4497762367926478,0.5564911816304978,20,0.9825091361999512,8.389456272125244,27753.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,1,1,0.5394943412142372,0.546857724889804,0.4435446852759527,0.4806232738084641,0.5594668518936183,29,1.4238767623901367,8.593294858932495,27753.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,1,2,0.4093071209316494,0.5021914964887215,0.3314299738814389,0.4484385959432775,0.4313844404927044,33,1.348973274230957,8.382728099822998,27753.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,1,3,0.3394099866438597,0.5169336470703111,0.2718406270105972,0.4151589060092664,0.349963172161332,18,1.068796157836914,8.704607009887695,27753.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,1,4,0.5456334793917098,0.5401550739133564,0.4277964693246424,0.4890382783346294,0.5506546729486109,27,1.340451955795288,8.271195888519287,27753.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,1,0,0.1533612953112918,0.2656669115170483,0.0781779579260468,0.1549153689502562,0.0680969372900089,5,3.5337328910827637,41.26453185081482,3897.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,1,1,0.0772078637205051,0.2636023512460294,0.0542723105663248,0.1249136023298068,0.0443691540323767,6,3.623029947280884,42.36461687088013,3897.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,1,2,0.0912435269583147,0.1811594202898551,0.0221767572463847,0.0966929748694529,0.0326951957843325,24,6.472985029220581,40.86982178688049,3897.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,1,3,0.3636384938022822,0.4647580642095248,0.243609200517106,0.3846693889466182,0.3690828920973528,96,14.50418210029602,40.71944499015808,3897.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,1,4,0.0457389226046816,0.1946375458994149,0.0241042245322855,0.1009515730757175,0.0280030467646729,1,2.7819666862487793,39.11412715911865,3897.0,9,90,42677,result/other_cnn_baselines_fewshot_3datasets
pavia_university,knn,1,0,0.499589943060665,0.6235249572235095,0.3919571879797655,0.5400106441870858,0.5197601241784015,0,0.0014002323150634,0.0172419548034667,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,1,1,0.5070881270942194,0.6154066720118725,0.4045799222006587,0.546229213963404,0.5277907136269162,0,0.0013980865478515,0.0155971050262451,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,1,2,0.5801485577711648,0.6656712996803749,0.4780290713921402,0.5929841588429863,0.5891543547160417,0,0.0016009807586669,0.0158860683441162,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,1,3,0.5581695058228086,0.6225779352935957,0.4420978744953844,0.519469762786374,0.5566947673221231,0,0.0012707710266113,0.0143651962280273,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,1,4,0.4506877240668275,0.6288385612580938,0.369541189058756,0.5516034735063745,0.4463112497467026,0,0.001335859298706,0.0178189277648925,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,1,0,0.2980996789839961,0.3790506602386477,0.1717891474807039,0.298524999369393,0.3198085898748914,0,0.1838769912719726,0.1305351257324218,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,1,1,0.437636197483422,0.4028585353524347,0.2879897680040488,0.3953080895196264,0.4576126300117814,0,0.1499097347259521,0.0769882202148437,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,1,2,0.2871804484851325,0.337771415961745,0.1510635184623947,0.2654418006338905,0.3033688442338712,0,0.1299731731414795,0.075538158416748,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,1,3,0.280525810155353,0.3597858223553844,0.1620645976892042,0.2924859248604955,0.3209546814486341,0,0.1330461502075195,0.0888659954071044,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,1,4,0.2980059516835766,0.4188351836582838,0.2001610954170567,0.3551626400242491,0.2990251883404565,0,0.2329542636871338,0.0989837646484375,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,1,0,0.499589943060665,0.6235249572235095,0.3919571879797655,0.5400106441870858,0.5197601241784015,0,0.0015411376953125,0.0312550067901611,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,1,1,0.5070881270942194,0.6154066720118725,0.4045799222006587,0.546229213963404,0.5277907136269162,0,0.0015819072723388,0.029897928237915,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,1,2,0.5801485577711648,0.6656712996803749,0.4780290713921402,0.5929841588429863,0.5891543547160417,0,0.0016300678253173,0.0308349132537841,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,1,3,0.5581695058228086,0.6225779352935957,0.4420978744953844,0.519469762786374,0.5566947673221231,0,0.0016620159149169,0.0308761596679687,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,1,4,0.4506877240668275,0.6288385612580938,0.369541189058756,0.5516034735063745,0.4463112497467026,0,0.0015769004821777,0.0308737754821777,,9,90,42677,result/other_traditional_baselines_fewshot_3datasets
pavia_university,cnn1d,5,0,0.6465373701367229,0.72578696389763,0.5508935999689667,0.653731209617053,0.6514237287391864,89,1.557624101638794,1.653713941574097,7113.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,5,1,0.5355174597218639,0.7220775519972881,0.4523936114112197,0.6197447891375736,0.5496553863525154,98,1.4870681762695312,1.5925378799438477,7113.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,5,2,0.6108674749654088,0.7162337537197276,0.5215610747829432,0.6333545489324919,0.6227053984049877,99,1.5449621677398682,1.5541322231292725,7113.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,5,3,0.5267700100841912,0.6412590877362379,0.4175677896086618,0.4792203898186625,0.5024989696862898,78,1.229362964630127,1.302726984024048,7113.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn1d,5,4,0.6459276283389226,0.7263355197341288,0.5532252012600134,0.6494655068782738,0.6574024799389295,81,1.2660369873046875,1.2572500705718994,7113.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,5,0,0.8032879153865997,0.8147296680173456,0.7489897367805615,0.7506550032500838,0.8139883389736171,78,5.53875470161438,8.249594926834106,27753.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,5,1,0.6383762106892428,0.7131288731438558,0.5603357944710827,0.6483823404824557,0.6574361424792446,49,3.629394292831421,8.707134008407593,27753.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,5,2,0.6196383762106893,0.7576812698769793,0.5534180220173408,0.6796926964645477,0.6251869132545368,65,4.39092493057251,8.619930744171143,27753.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,5,3,0.7494195727117093,0.7537889343928131,0.6789961750741383,0.7278846705353694,0.7602022175543597,51,3.1361007690429688,7.1353771686553955,27753.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn2d,5,4,0.7133275486034568,0.7236255485012912,0.6343519209978297,0.6767161669663605,0.7233774360999048,45,2.979888916015625,7.082729816436768,27753.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,5,0,0.134659130883422,0.26010444808715,0.0604093524442181,0.1494723559306542,0.060407158740506,5,6.864574909210205,35.86428737640381,3897.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,5,1,0.0887408831875425,0.2822423594593974,0.0621898456415256,0.1005403542095563,0.0339113420479172,5,6.384145975112915,41.20158314704895,3897.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,5,2,0.0715039515958819,0.1111111111111111,0.0,0.0148294058996619,0.009543250094806,1,5.884358882904053,41.21330404281616,3897.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,5,3,0.5701554841584391,0.5619537423470276,0.4347446595344187,0.4898714528157162,0.5420985299796289,65,23.478015899658203,38.786787033081055,3897.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,cnn3d,5,4,0.0496705049131117,0.2055543006299726,0.0280668798559338,0.1009953545510455,0.0279935046548952,2,5.73408317565918,38.90812420845032,3897.0,45,90,42641,result/other_cnn_baselines_fewshot_3datasets
pavia_university,knn,5,0,0.5472667151333224,0.7150564563702942,0.4661663951990844,0.6187296133844957,0.5608758666386663,0,0.0015301704406738,0.0193300247192382,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,5,1,0.5716798386529397,0.6895268883694283,0.4845916334112401,0.6290731428944083,0.5950465210083626,0,0.0013799667358398,0.0205938816070556,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,5,2,0.5739780961984944,0.6879583426527293,0.4814017105036563,0.6243940659492677,0.5919620700180634,0,0.0015130043029785,0.0194578170776367,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,5,3,0.5992120259843813,0.7273924442408923,0.5089525822084806,0.6462399425540117,0.6156862756894877,0,0.0014741420745849,0.0202548503875732,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,knn,5,4,0.6482493374920851,0.685767207406959,0.5497870073537228,0.6354108280308307,0.6561072620206613,0,0.0016779899597167,0.0726120471954345,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,5,0,0.5620177763185666,0.6972263803459309,0.4701775134321393,0.611737424956612,0.5815143388836791,0,0.1416192054748535,0.0900018215179443,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,5,1,0.547618489247438,0.7339128703221236,0.4643228135466345,0.6471281600557126,0.5669502272042337,0,0.1479198932647705,0.084773302078247,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,5,2,0.5717267418681551,0.6655029278208632,0.4614585426894875,0.6032225456076407,0.5839410830109472,0,0.1323769092559814,0.0888831615447998,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,5,3,0.6460683379845689,0.6897002663095358,0.5457232865927801,0.6252916902301872,0.648277335116096,0,0.1342189311981201,0.0796129703521728,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,random_forest,5,4,0.6537370136722872,0.708362435559711,0.5606219384850497,0.6501592637843784,0.6676665263444079,0,0.2757129669189453,0.1279549598693847,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,5,0,0.5877910930794306,0.7364773518621489,0.5059969082481105,0.6594535259955759,0.6019311879424878,0,0.001749038696289,0.0889210700988769,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,5,1,0.5819516427851129,0.7287694169267657,0.4979382799008429,0.6587534866964986,0.6049731755330412,0,0.0017609596252441,0.0903680324554443,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,5,2,0.5626978729391899,0.724219749968177,0.4799326657424178,0.6544334559522914,0.5737522906948546,0,0.0017127990722656,0.0889821052551269,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
pavia_university,svm_rbf,5,3,0.611172345864309,0.7361153143059295,0.5241857174736578,0.6556158308825029,0.6251720672654812,0,0.0017578601837158,0.0934882164001464,,45,90,42641,result/other_traditional_baselines_fewshot_3datasets
