dataset,shot,qnn_label,true_class_id,true_class_name,pred_class_id,pred_class_name,baseline_count_mean,qnn_count_mean,delta_count_mean,delta_count_sum,increased_seeds,decreased_seeds
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,11,Soybean-clean,65.0,118.5,53.5,107,2,0
indian_pines,10,Spectral QNN + SupCon,13,Woods,14,Buildings-Grass-Trees-Drives,34.25,54.25,20.0,80,3,1
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,13,Woods,31.75,49.5,17.75,71,3,0
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,9,Soybean-notill,63.2,79.2,16.0,80,3,2
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,2,Corn-mintill,30.6,42.2,11.6,58,4,1
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,11,Soybean-clean,30.2,40.4,10.2,51,2,2
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,7,Hay-windrowed,21.4,31.6,10.2,51,3,1
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,3,Corn,1.0,9.0,8.0,16,1,1
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,11,Soybean-clean,28.5,36.25,7.75,31,2,1
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,3,Corn,5.2,11.2,6.0,30,3,2
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,13,Woods,7.666666666666667,13.666666666666666,6.0,18,3,0
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,10,Soybean-mintill,21.666666666666668,27.333333333333332,5.666666666666667,17,3,0
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,3,Corn,37.0,42.6,5.6,28,4,1
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,14,Buildings-Grass-Trees-Drives,77.0,82.6,5.6,28,3,1
indian_pines,10,Spectral QNN + SupCon,3,Corn,11,Soybean-clean,12.0,17.0,5.0,5,1,0
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,14,Buildings-Grass-Trees-Drives,44.0,49.0,5.0,25,3,2
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,5,Grass-trees,17.8,22.0,4.2,21,3,2
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,6,Grass-pasture-mowed,38.4,41.8,3.4,17,3,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,14,Buildings-Grass-Trees-Drives,5.5,8.5,3.0,6,2,0
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,8,Oats,2.3333333333333335,5.333333333333333,3.0,9,3,0
indian_pines,10,Spectral QNN + SupCon,13,Woods,10,Soybean-mintill,33.666666666666664,36.666666666666664,3.0,9,2,1
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,9,Soybean-notill,135.2,138.0,2.8,14,4,1
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,5,Grass-trees,106.0,108.8,2.8,14,3,2
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,4,Grass-pasture,10.0,12.5,2.5,5,1,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,13,Woods,0.0,2.0,2.0,4,2,0
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,14,Buildings-Grass-Trees-Drives,4.666666666666667,6.0,1.3333333333333333,4,1,2
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,1,Corn-notill,15.75,17.0,1.25,5,3,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,3,Corn,0.0,1.0,1.0,2,2,0
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,11,Soybean-clean,0.0,1.0,1.0,1,1,0
indian_pines,10,Spectral QNN + SupCon,8,Oats,5,Grass-trees,0.0,1.0,1.0,1,1,0
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,0,Alfalfa,27.6,28.6,1.0,5,2,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,0,Alfalfa,0.0,1.0,1.0,1,1,0
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,9,Soybean-notill,59.0,59.666666666666664,0.6666666666666666,2,1,2
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,3,Corn,2.0,2.6666666666666665,0.6666666666666666,2,2,0
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,4,Grass-pasture,16.75,17.25,0.5,2,2,2
indian_pines,10,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,11,Soybean-clean,4.5,5.0,0.5,1,1,1
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,13,Woods,19.0,19.333333333333332,0.3333333333333333,1,1,2
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,11,Soybean-clean,18.0,18.0,0.0,0,0,0
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,3,Corn,1.0,1.0,0.0,0,1,1
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,14,Buildings-Grass-Trees-Drives,18.0,17.6,-0.4,-2,1,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,8,Oats,9.0,8.25,-0.75,-3,1,2
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,10,Soybean-mintill,35.4,34.4,-1.0,-5,4,1
indian_pines,10,Spectral QNN + SupCon,3,Corn,2,Corn-mintill,5.0,4.0,-1.0,-1,0,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,10,Soybean-mintill,1.0,0.0,-1.0,-1,0,1
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,4,Grass-pasture,1.0,0.0,-1.0,-1,0,1
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,11,Soybean-clean,30.666666666666668,29.666666666666668,-1.0,-3,1,1
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,0,Alfalfa,1.0,0.0,-1.0,-1,0,1
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,6,Grass-pasture-mowed,2.5,1.5,-1.0,-2,1,1
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,8,Oats,28.8,27.6,-1.2,-6,2,3
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,12,Wheat,12.8,11.6,-1.2,-6,1,4
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,8,Oats,6.0,4.5,-1.5,-3,0,2
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,14,Buildings-Grass-Trees-Drives,46.2,44.4,-1.8,-9,3,1
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,10,Soybean-mintill,6.5,4.5,-2.0,-4,1,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,1,Corn-notill,2.0,0.0,-2.0,-2,0,1
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,9,Soybean-notill,18.0,16.0,-2.0,-2,0,1
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,1,Corn-notill,52.2,50.0,-2.2,-11,2,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,3,Corn,18.0,15.8,-2.2,-11,2,3
indian_pines,10,Spectral QNN + SupCon,3,Corn,5,Grass-trees,4.0,1.5,-2.5,-5,0,2
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,10,Soybean-mintill,18.0,15.5,-2.5,-10,1,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,5,Grass-trees,6.25,3.75,-2.5,-10,1,3
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,15,Stone-Steel-Towers,30.0,27.4,-2.6,-13,3,2
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,2,Corn-mintill,14.25,11.5,-2.75,-11,2,2
indian_pines,10,Spectral QNN + SupCon,13,Woods,9,Soybean-notill,11.75,9.0,-2.75,-11,1,3
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,13,Woods,15.75,12.75,-3.0,-12,2,1
indian_pines,10,Spectral QNN + SupCon,12,Wheat,2,Corn-mintill,3.5,0.5,-3.0,-6,0,2
indian_pines,10,Spectral QNN + SupCon,12,Wheat,4,Grass-pasture,4.0,1.0,-3.0,-3,0,1
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,4,Grass-pasture,16.0,12.8,-3.2,-16,3,2
indian_pines,10,Spectral QNN + SupCon,9,Soybean-notill,2,Corn-mintill,41.75,38.5,-3.25,-13,1,3
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,1,Corn-notill,5.25,1.5,-3.75,-15,1,3
indian_pines,10,Spectral QNN + SupCon,4,Grass-pasture,5,Grass-trees,33.5,29.5,-4.0,-8,1,1
indian_pines,10,Spectral QNN + SupCon,13,Woods,7,Hay-windrowed,14.666666666666666,10.333333333333334,-4.333333333333333,-13,1,2
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,8,Oats,37.6,33.0,-4.6,-23,2,3
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,0,Alfalfa,58.0,53.2,-4.8,-24,3,2
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,0,Alfalfa,6.0,0.0,-6.0,-6,0,1
indian_pines,10,Spectral QNN + SupCon,5,Grass-trees,2,Corn-mintill,7.0,0.0,-7.0,-7,0,1
indian_pines,10,Spectral QNN + SupCon,1,Corn-notill,2,Corn-mintill,30.4,22.0,-8.4,-42,1,4
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,1,Corn-notill,15.666666666666666,6.666666666666667,-9.0,-27,0,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,9,Soybean-notill,17.5,4.0,-13.5,-27,0,2
indian_pines,10,Spectral QNN + SupCon,2,Corn-mintill,12,Wheat,61.4,47.4,-14.0,-70,3,2
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,12,Wheat,60.25,44.25,-16.0,-64,1,3
indian_pines,10,Spectral QNN + SupCon,11,Soybean-clean,15,Stone-Steel-Towers,93.8,75.2,-18.6,-93,1,4
indian_pines,10,Spectral QNN + SupCon,13,Woods,2,Corn-mintill,33.0,5.0,-28.0,-56,0,2
indian_pines,10,Spectral QNN + SupCon,10,Soybean-mintill,1,Corn-notill,220.6,171.0,-49.6,-248,1,4
