dataset,shot,seed,qnn_label,true_class_id,true_class_name,pred_class_id,pred_class_name,baseline_count,qnn_count,delta_count
pavia_university,10,0,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,0,Asphalt,156,73,-83
pavia_university,10,0,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,2,Gravel,118,1,-117
pavia_university,10,0,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,3,Trees,105,144,39
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,0,Asphalt,2,7,5
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,2,Gravel,28,3,-25
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,3,Trees,35,1,-34
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,4,Painted metal sheets,201,193,-8
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,5,Bare Soil,6,1,-5
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,6,Bitumen,26,0,-26
pavia_university,10,0,ConfidenceGuard-C + SupCon,8,Shadows,7,Self-Blocking Bricks,0,3,3
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,1,Meadows,85,65,-20
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,2,Gravel,904,323,-581
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,3,Trees,1944,534,-1410
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,6,Bitumen,603,127,-476
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,7,Self-Blocking Bricks,0,903,903
pavia_university,10,1,ConfidenceGuard-C + SupCon,0,Asphalt,8,Shadows,108,0,-108
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,0,Asphalt,12,259,247
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,2,Gravel,1355,530,-825
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,3,Trees,639,82,-557
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,5,Bare Soil,67,1610,1543
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,7,Self-Blocking Bricks,0,1049,1049
pavia_university,10,1,ConfidenceGuard-C + SupCon,1,Meadows,8,Shadows,22,0,-22
pavia_university,10,1,ConfidenceGuard-C + SupCon,2,Gravel,0,Asphalt,0,3,3
pavia_university,10,1,ConfidenceGuard-C + SupCon,2,Gravel,7,Self-Blocking Bricks,0,466,466
pavia_university,10,1,ConfidenceGuard-C + SupCon,2,Gravel,8,Shadows,131,9,-122
pavia_university,10,1,ConfidenceGuard-C + SupCon,3,Trees,0,Asphalt,130,333,203
pavia_university,10,1,ConfidenceGuard-C + SupCon,3,Trees,1,Meadows,147,176,29
pavia_university,10,1,ConfidenceGuard-C + SupCon,3,Trees,2,Gravel,181,61,-120
pavia_university,10,1,ConfidenceGuard-C + SupCon,3,Trees,5,Bare Soil,1,8,7
pavia_university,10,1,ConfidenceGuard-C + SupCon,3,Trees,7,Self-Blocking Bricks,0,177,177
pavia_university,10,1,ConfidenceGuard-C + SupCon,5,Bare Soil,0,Asphalt,15,4,-11
pavia_university,10,1,ConfidenceGuard-C + SupCon,5,Bare Soil,1,Meadows,263,0,-263
pavia_university,10,1,ConfidenceGuard-C + SupCon,5,Bare Soil,8,Shadows,18,0,-18
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,0,Asphalt,127,360,233
pavia_university,10,1,ConfidenceGuard-C + SupCon,7,Self-Blocking Bricks,2,Gravel,2730,214,-2516
