dataset,shot,seed,qnn_label,class_id,class_name,precision_baseline,recall_baseline,f1_baseline,support,accuracy_baseline,precision_qnn,recall_qnn,f1_qnn,accuracy_qnn,delta_precision,delta_recall,delta_f1,delta_accuracy,support_weighted_delta_f1,support_weighted_delta_recall
indian_pines,5,2,Spectral QNN + SupCon,4,Grass-pasture,0.8719806763285024,0.7713675213675214,0.81859410430839,468,0.7713675213675214,0.8844339622641509,0.8012820512820513,0.8408071748878924,0.8012820512820513,0.01245328593564854,0.02991452991452992,0.022213070579502392,0.02991452991452992,10.39571703120712,14.000000000000002
indian_pines,5,2,Spectral QNN + SupCon,5,Grass-trees,0.8733766233766234,0.7524475524475525,0.8084147257700977,715,0.7524475524475525,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.03571428571428581,0.016783216783216814,0.024918607563235717,0.016783216783216814,17.816804407713537,12.000000000000023
indian_pines,5,2,Spectral QNN + SupCon,6,Grass-pasture-mowed,0.240506329113924,1.0,0.3877551020408163,19,1.0,0.25,1.0,0.4,1.0,0.009493670886076,0.0,0.01224489795918371,0.0,0.23265306122449048,0.0
indian_pines,5,2,Spectral QNN + SupCon,7,Hay-windrowed,0.8819047619047619,1.0,0.937246963562753,463,1.0,0.8589981447124304,1.0,0.9241516966067864,1.0,-0.022906617192331447,0.0,-0.013095266955966633,0.0,-6.063108600612551,0.0
indian_pines,5,2,Spectral QNN + SupCon,8,Oats,0.0670391061452514,1.0,0.1256544502617801,12,1.0,0.0727272727272727,1.0,0.135593220338983,1.0,0.005688166582021301,0.0,0.009938770077202896,0.0,0.11926524092643476,0.0
indian_pines,5,2,Spectral QNN + SupCon,9,Soybean-notill,0.8086185044359949,0.6666666666666666,0.7308132875143184,957,0.6666666666666666,0.7474860335195531,0.6990595611285266,0.7224622030237581,0.6990595611285266,-0.061132470916441806,0.03239289446186,-0.008351084490560323,0.03239289446186,-7.9919878574662295,31.00000000000002
indian_pines,5,2,Spectral QNN + SupCon,10,Soybean-mintill,0.8292134831460675,0.7561475409836066,0.7909967845659164,2440,0.7561475409836066,0.8200089325591782,0.7524590163934426,0.7847830733062621,0.7524590163934426,-0.009204550586889293,-0.0036885245901639996,-0.006213711259654309,-0.0036885245901639996,-15.161455473556513,-9.00000000000016
indian_pines,5,2,Spectral QNN + SupCon,11,Soybean-clean,0.5032894736842105,0.2647058823529412,0.3469387755102041,578,0.2647058823529412,0.4870317002881844,0.2923875432525951,0.3654054054054054,0.2923875432525951,-0.01625777339602613,0.027681660899653904,0.018466629895201314,0.027681660899653904,10.673712079426359,15.999999999999956
indian_pines,5,2,Spectral QNN + SupCon,12,Wheat,0.4279279279279279,1.0,0.5993690851735016,190,1.0,0.6129032258064516,1.0,0.76,1.0,0.18497529787852374,0.0,0.16063091482649838,0.0,30.519873817034693,0.0
indian_pines,5,2,Spectral QNN + SupCon,13,Woods,0.8426183844011143,0.968,0.9009679821295606,1250,0.968,0.7965194109772423,0.952,0.8673469387755102,0.952,-0.046098973423871925,-0.016000000000000014,-0.03362104335405047,-0.016000000000000014,-42.02630419256309,-20.000000000000018
indian_pines,5,2,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,0.4302325581395348,0.9973045822102424,0.6011372867587328,371,0.9973045822102424,0.4875164257555847,1.0,0.6554770318021201,1.0,0.057283867616049866,0.0026954177897575704,0.054339745043387344,0.0026954177897575704,20.160045411096704,1.0000000000000586
indian_pines,5,2,Spectral QNN + SupCon,15,Stone-Steel-Towers,0.227405247813411,1.0,0.3705463182897862,78,1.0,0.2085561497326203,1.0,0.3451327433628318,1.0,-0.018849098080790716,0.0,-0.025413574926954396,0.0,-1.982258844302443,0.0
indian_pines,5,3,Spectral QNN + SupCon,0,Alfalfa,0.3203883495145631,1.0,0.4852941176470588,33,1.0,0.336734693877551,1.0,0.5038167938931297,1.0,0.01634634436298793,0.0,0.0185226762460709,0.0,0.6112483161203397,0.0
indian_pines,5,3,Spectral QNN + SupCon,1,Corn-notill,0.9017580144777664,0.6171266808209483,0.7327731092436974,1413,0.6171266808209483,0.9178571428571428,0.5456475583864119,0.6844207723035952,0.5456475583864119,0.016099128379376437,-0.07147912243453647,-0.048352336940102214,-0.07147912243453647,-68.32185209636442,-101.00000000000003
indian_pines,5,3,Spectral QNN + SupCon,2,Corn-mintill,0.3102362204724409,0.4834355828220859,0.3779376498800959,815,0.4834355828220859,0.2861736334405145,0.4368098159509202,0.3457989315201554,0.4368098159509202,-0.02406258703192643,-0.04662576687116565,-0.03213871835994053,-0.04662576687116565,-26.193055463351534,-38.00000000000001
indian_pines,5,3,Spectral QNN + SupCon,3,Corn,0.8825910931174089,0.981981981981982,0.929637526652452,222,0.981981981981982,0.8866396761133604,0.9864864864864864,0.9339019189765458,0.9864864864864864,0.004048582995951455,0.0045045045045043475,0.004264392324093813,0.0045045045045043475,0.9466950959488265,0.9999999999999651
indian_pines,5,3,Spectral QNN + SupCon,4,Grass-pasture,0.5763888888888888,0.7094017094017094,0.6360153256704981,468,0.7094017094017094,0.6417624521072797,0.7158119658119658,0.6767676767676768,0.7158119658119658,0.06537356321839083,0.0064102564102563875,0.040752351097178674,0.0064102564102563875,19.07210031347962,2.9999999999999893
indian_pines,5,3,Spectral QNN + SupCon,5,Grass-trees,0.751357220412595,0.967832167832168,0.8459657701711492,715,0.967832167832168,0.7546961325966851,0.9552447552447552,0.8432098765432099,0.9552447552447552,0.0033389121840901037,-0.012587412587412805,-0.0027558936279392654,-0.012587412587412805,-1.9704639439765748,-9.000000000000156
